"","hotel","rating","page","star","ctry"
"645","Belle Russell Square ex Welcome Inn","59",6,3,2
"646","Russell Court","74",6,3,2
"647","Royal Eagle","63",6,3,2
"648","Kensington Suite","57",6,3,2
"649","Best Western The Cromwell","74",6,3,2
"650","Holiday Inn Express London Southwark","77",6,3,2
"651","Hotel 261","64",7,3,2
"652","Castletown House","85",7,3,2
"653","The W14 Kensington","76",7,3,2
"654","Kingsland","79",7,3,2
"655","The Barn","78",7,3,2
"656","The Regency","77",7,3,2
"657","Knaresborough Serviced Apartments","73",7,3,2
"658","Rose Court Marble Arch","58",7,3,2
"659","Comfort Inn Victoria","68",7,3,2
"660","So Paddington","54",7,3,2
"661","The Coronation","71",7,3,2
"662","The Windmill","73",7,3,2
"663","City","75",7,3,2
"664","Ramada London North M1","79",7,3,2
"665","Avni Kensington","69",7,3,2
"666","The Craven","62",7,3,2
"667","SO Kings Cross","69",7,3,2
"668","Boundary","87",7,3,2
"669","Haverstock Hotel","75",7,3,2
"670","Holiday Inn Express London Stratford","79",7,3,2
"671","Best Western Bromley Court","77",7,3,2
"672","Tudor Court","69",7,3,2
"673","Hallam","56",7,3,2
"674","Imperial Bedford","75",7,3,2
"675","The Wellington","78",7,3,2
"676","Astor Court","73",8,3,2
"677","Holiday Inn Express London  Limehouse","79",8,3,2
"678","Holiday Inn Express London Chingford-North Circular","80",8,3,2
"679","Mk London","81",8,3,2
"680","Capricorn Oliver Plaza","72",8,3,2
"681","Abbey Point","72",8,3,2
"682","Beaver","70",8,3,2
"683","The Hyde Park","67",8,3,2
"684","Holiday Inn Express London Victoria","72",8,3,2
"685","Quality Hampstead","77",8,3,2
"686","Amsterdam","78",8,3,2
"687","Belgrave","77",8,3,2
"688","ibis Styles London Southwark Rose","79",8,3,2
"689","Britannia Hampstead","59",8,3,2
"690","Huttons","65",8,3,2
"691","Eurotraveller Premier Tower Bridge","74",8,3,2
"692","Comfotel Blu","65",8,3,2
"693","Best Western Chiswick Palace & Suites","77",8,3,2
"694","Diplomat","74",8,3,2
"695","27 Paddington ","73",8,3,2
"696","Berjaya Eden Park London Hotel - United Kingdom","65",8,3,2
"697","The Fox & Goose","81",8,3,2
"698","Hotel 82 London","71",8,3,2
"699","Ivy House","82",8,3,2
"700","St Georgio ","74",8,3,2
"701","Lord Kensington","69",9,3,2
"702","The Jade","77",9,3,2
"703","The Windmill","89",9,3,2
"704","St Georges Inn Victoria","64",9,3,2
"705","The Stag","66",9,3,2
"706","Holiday Inn Express London Swiss Cottage","83",9,3,2
"707","Athena","68",9,3,2
"708","Airways Victoria","66",9,3,2
"709","Express By Holiday Inn London  Newbury Park","79",9,3,2
"710","Troy","74",9,3,2
"711","Royal London","70",9,3,2
"712","Arbor Hyde Park","81",9,3,2
"713","The Mad Hatter","83",9,3,2
"714","Holland Court","56",9,3,2
"715","The Zetter Townhouse","88",9,3,2
"716","The Villa Kensington","77",9,3,2
"717","Travelodge Tower Bridge","78",9,3,2
"718","Clapham Guest House","76",9,3,2
"719","Melita House","71",9,3,2
"720","291 Suites","70",9,3,2
"721","Anthea Makedonia","71",9,3,2
"722","Pearl  London","72",9,3,2
"723","Comfort Inn Edgware Road W2","70",9,3,2
"724","Holiday Villa","66",9,3,2
"725","Nayland","67",9,3,2
"726","The Enterprise","68",10,3,2
"727","Pavilion","58",10,3,2
"728","'The Rose Park","64",10,3,2
"729","Royal Cambridge","61",10,3,2
"730","Dog And Fox","86",10,3,2
"731","Ramada London South Ruislip","80",10,3,2
"732","St Georges Victoria","65",10,3,2
"733","Leigh House","68",10,3,2
"734","Queens Drive","58",10,3,2
"735","Hampton by Hilton London Waterloo","89",10,3,2
"736","Heatherbank Guest House","85",10,3,2
"737","News Islington Inn ex Tommy Miah's Raj","63",10,3,2
"738","Brook ","81",10,3,2
"739","Travelodge Borehamwood","81",10,3,2
"740","Holland Park Grove","65",10,3,2
"741","Avonmore","76",10,3,2
"742","Corner House","68",10,3,2
"743","Mitre House","70",10,3,2
"744","The Fielding","84",10,3,2
"745","The Station","85",10,3,2
"746","Generator London","80",10,3,2
"747","Park View","66",10,3,2
"748","Gloucester","64",10,3,2
"749","The Ridgeway","68",10,3,2
"750","Acton Town","64",10,3,2
"751","Admiral","60",11,3,2
"752","Holland Park","66",11,3,2
"753","Mehfil London Heathrow","74",11,3,2
"754","Euston Square","69",11,3,2
"755","Staunton","80",11,3,2
"756","Osterley Park","59",11,3,2
"757","Mermaid Suite","69",11,3,2
"758","London Premier Kensington","61",11,3,2
"759","London House","81",11,3,2
"760","St Joseph","56",11,3,2
"761","Holiday Inn Express London Hammersmith","81",11,3,2
"762","Pacific","59",11,3,2
"763","Macy's","70",11,3,2
"764","Glorydale Inn","64",11,3,2
"765","Reem","68",11,3,2
"766","The Byron","73",11,3,2
"767","Victor","70",11,3,2
"768","Eden Plaza Kensington","69",11,3,2
"769","Casuarina Tree","68",11,3,2
"770","Essex Inn ","51",11,3,2
"771","George","74",11,3,2
"772","Citadines Prestige South Kensington London","82",11,3,2
"773","The Cheshire EX The Country Inn & Suites by Carlson","59",11,3,2
"774","A To Z","54",11,3,2
"775","The New Inn","84",11,3,2
"776","The Bridge Hotel","74",12,3,2
"777","Avni at Courtfield","64",12,3,2
"778","Bridge Park","64",12,3,2
"779","Brunel Hotel","64",12,3,2
"780","Chumleigh Lodge","66",12,3,2
"781","Oak Lodge","75",12,3,2
"782","Forest View","72",12,3,2
"783","Churchill Apartments","76",12,3,2
"784","Myhotel Bloomsbury","79",1,4,2
"785","Sunborn Yacht","90",1,4,2
"786","The Langorf","78",1,4,2
"787","Hilton London Kensington","76",1,4,2
"788","Clayton Crown","81",1,4,2
"789","SO Park","79",1,4,2
"790","Aloft London Excel","87",1,4,2
"791","Holiday Inn London-Kings Cross Bloomsbury","73",1,4,2
"792","H10 London Waterloo","84",1,4,2
"793","Hilton London Syon Park","84",1,4,2
"794","DoubleTree by Hilton London - West End","80",1,4,2
"795","London Marriott Kensington","82",1,4,2
"796","Novotel London Tower Bridge","83",1,4,2
"797","SO Quartier","64",1,4,2
"798","Radisson Blu Edwardian Grafton Hotel","81",1,4,2
"799","Park Plaza Riverbank London","80",1,4,2
"800","Commodore","70",1,4,2
"801","Park Grand London Paddington","76",1,4,2
"802","Hilton London Paddington","81",1,4,2
"803","Doubletree by Hilton London Ealing","82",1,4,2
"804","Malmaison London","84",1,4,2
"805","Duke of Leinster","69",1,4,2
"806","Thistle Trafalgar Square - The Royal Trafalgar","83",1,4,2
"807","DoubleTree by Hilton Tower of London","88",1,4,2
"808","Hendon Hall","84",1,4,2
"809","London Marriott Twickenham","86",2,4,2
"810","Shepherds Bush Boutique","82",2,4,2
"811","The Cavendish London","87",2,4,2
"812","Mercure London Bloomsbury","80",2,4,2
"813","Eccleston Square","85",2,4,2
"814","The Cleveland","80",2,4,2
"815","The Cumberland","77",2,4,2
"816","Thistle Kensington Gardens","79",2,4,2
"817","Church Street","86",2,4,2
"818","Marriott Maida Vale","79",2,4,2
"819","The Marylebone","87",2,4,2
"820","The Grand at Trafalgar Square","82",2,4,2
"821","Hilton London Green Park","74",2,4,2
"822","Quality Crown Hyde Park","69",2,4,2
"823","Thewesley","79",2,4,2
"824","Henry VIII","68",2,4,2
"825","Go Native Earl's Court","78",2,4,2
"826","Apex Temple Court","91",2,4,2
"827","Marlin Apartments Canary Wharf","79",2,4,2
"828","Radisson Blu Portman Hotel, London","78",2,4,2
"829","Marriott London Marble Arch","81",2,4,2
"830","Best Western The Boltons","79",2,4,2
"831","Presidential Apartments - Kensington","81",2,4,2
"832","Strand Palace Hotel","80",2,4,2
"833","Novotel London Excel","83",2,4,2
"834","Novotel London Wembley","90",3,4,2
"835","Radisson Blu Edwardian Berkshire Hotel","80",3,4,2
"836","Club Quarters Gracechurch","82",3,4,2
"837","DoubleTree by Hilton London Islington","85",3,4,2
"838","Novotel London City South","82",3,4,2
"839","DoubleTree by Hilton London Hyde Park","83",3,4,2
"840","The Kensington Close","73",3,4,2
"841","Nottingham Place","75",3,4,2
"842","Novotel London West","78",3,4,2
"843","Pullman London St Pancras","88",3,4,2
"844","K West","81",3,4,2
"845","Myhotel Chelsea","80",3,4,2
"846","Russell","79",3,4,2
"847","Park Plaza Sherlock Holmes London","79",3,4,2
"848","Novotel London Paddington","85",3,4,2
"849","Canary Wharf Luxury Riverside Apartments","74",3,4,2
"850","Fifty Four Boutique ","82",3,4,2
"851","Hilton London Hyde Park","74",3,4,2
"852","Millennium London Knightsbridge","74",3,4,2
"853","Dawson House","77",3,4,2
"854","Crowne Plaza  London Docklands","83",3,4,2
"855","Amba Charing Cross","91",3,4,2
"856","Holiday Inn London Kensington Forum","76",3,4,2
"857","The Belgrave","87",3,4,2
"858","Xanadu","86",3,4,2
"859","citizenM London Bankside","89",4,4,2
"860","Collingham Serviced Apartments","88",4,4,2
"861","Lancaster London","82",4,4,2
"862","DoubleTree by Hilton Hotel London - Victoria","82",4,4,2
"863","The Westbridge","87",4,4,2
"864","Marriott London Regents Park","81",4,4,2
"865","The Rookery","89",4,4,2
"866","Radisson Blu Edwardian Sussex Hotel","77",4,4,2
"867","Club Quarters - Lincoln's Inn Fields","89",4,4,2
"868","The Nadler Kensington","87",4,4,2
"869","Cranley ","85",4,4,2
"870","Hilton London Canary Wharf","89",4,4,2
"871","Hotel Indigo London Paddington","87",4,4,2
"872","Crowne Plaza London Heathrow","81",4,4,2
"873","Marriott London Grosvenor Square","80",4,4,2
"874","Best Western MaÃ®trise","69",4,4,2
"875","Apex City of London","89",4,4,2
"876","Hilton London Euston","72",4,4,2
"877","AMBA Hotel Marble Arch","79",4,4,2
"878","The Re London Shoreditch","76",4,4,2
"879","The Hoxton Holborn","88",4,4,2
"880","The Rembrandt","84",4,4,2
"881","St James' Court A Taj Hotel","86",4,4,2
"882","Montagu Place","87",4,4,2
"883","DoubleTree by Hilton London Heathrow Airport","83",4,4,2
"884","The Bloomsbury","88",5,4,2
"885","Shaftesbury Hyde Park International","76",5,4,2
"886","Thistle Euston","78",5,4,2
"887","DoubleTree London Docklands Riverside","76",5,4,2
"888","Pestana Chelsea Bridge","87",5,4,2
"889","The Washington Mayfair","76",5,4,2
"890","196 Bishopsgate","85",5,4,2
"891","DoubleTree by Hilton London - Marble Arch","81",5,4,2
"892","Novotel London Greenwich","83",5,4,2
"893","The Whitechapel","79",5,4,2
"894","London Bridge","75",5,4,2
"895","Citadines St Mark's","82",5,4,2
"896","The Grosvenor","83",5,4,2
"897","Hilton London Wembley","88",5,4,2
"898","Hilton London Tower Bridge","88",5,4,2
"899","Park Avenue Belgravia","75",5,4,2
"900","Holiday Inn Camden Lock","86",5,4,2
"901","The Caesar","78",5,4,2
"902","The Colonnade","81",5,4,2
"903","The Tower","79",5,4,2
"904","Club Quarters Trafalgar Square","82",5,4,2
"905","Comfort Inn King's Cross","71",5,4,2
"906","London Bridge","86",5,4,2
"907","The Nadler Soho","93",5,4,2
"908","Holiday Inn London - Wembley","79",5,4,2
"909","Novotel London Blackfriars","88",6,4,2
"910","Radisson Blu Edwardian Mercer Street Hotel","85",6,4,2
"911","Knightsbridge Green","55",6,4,2
"912","Radisson Blu Edwardian Vanderbilt Hotel","77",6,4,2
"913","The Pelham","87",6,4,2
"914","Best Western Seraphine Kensington Olympia","78",6,4,2
"915","Club Quarters St Paul's","84",6,4,2
"916","Goodenough Club","82",6,4,2
"917","Mercure London Bridge","80",6,4,2
"918","Radisson Blu Edwardian Kenilworth Hotel","78",6,4,2
"919","Opulence Central London","50",6,4,2
"920","Sloane Square","80",6,4,2
"921","Chamberlain","81",6,4,2
"922","Rubens at the Palace","87",6,4,2
"923","The Gore","85",6,4,2
"924","Millennium & Copthorne At Chelsea Football Club","79",6,4,2
"925","Doubletree By Hilton London - Chelsea","83",6,4,2
"926","The Montague on the Gardens","93",6,4,2
"927","Corus Hotel Hyde Park","72",6,4,2
"928","Danubius Regents Park","79",6,4,2
"929","Clayton Chiswick ","82",6,4,2
"930","The Mandeville","82",6,4,2
"931","Ambassadors Bloomsbury","76",6,4,2
"932","44 Curzon Street by Mansley Serviced Apartments","86",6,4,2
"933","Laura Ashley The Manor","86",6,4,2
"934","Apple Apartments Kensington","83",7,4,2
"935","St. Ermins Autograph Collection","88",7,4,2
"936","Park Plaza Westminster Bridge London","88",7,4,2
"937","Park Plaza County Hall London","86",7,4,2
"938","The Royal Park","86",7,4,2
"939","Paddington Court Executive Rooms","73",7,4,2
"940","Grand Royale London Hyde Park","72",7,4,2
"941","Best Western Shaftesbury Paddington Court","74",7,4,2
"942","Crowne Plaza London - Kensington","87",7,4,2
"943","Radisson Blu Edwardian Bloomsbury Street Hotel","83",7,4,2
"944","Holiday Inn London Regent's Park","79",7,4,2
"945","The Lodge","80",7,4,2
"946","Shaftesbury Premier London Paddington","71",7,4,2
"947","The Rockwell","83",7,4,2
"948","Best Western Seraphine Kensington Gardens","75",7,4,2
"949","Crowne Plaza London - Ealing","80",7,4,2
"950","Ashburn","85",7,4,2
"951","The Harrington Ex Avni Apartments","79",7,4,2
"952","Holiday Inn London - Stratford City","87",7,4,2
"953","Copthorne Tara London Kensington","74",7,4,2
"954","Radisson Blu Edwardian New Providence Wharf Hotel","89",7,4,2
"955","The Bermondsey Square","81",7,4,2
"956","Thistle Hyde Park","77",7,4,2
"957","Hilton London Metropole","75",7,4,2
"958","The Abbey Court Notting Hill","79",7,4,2
"959","Novotel London Waterloo","81",8,4,2
"960","Chesterfield Mayfair","93",8,4,2
"961","Dolphin House","82",8,4,2
"962","39 Studios","70",8,4,2
"963","Hilton London Angel Islington","85",8,4,2
"964","Citadines Prestige Trafalgar Square London","83",8,4,2
"965","NH London Kensington","81",8,4,2
"966","Rathbone","82",8,4,2
"967","Devonport House","82",8,4,2
"968","Go Native Monument","87",8,4,2
"969","Villa Fitzrovial","81",8,4,2
"970","The Levin","92",8,4,2
"971","Belgravia Mews","48",8,4,2
"972","La Suite West","75",8,4,2
"973","Hazlitts","88",8,4,2
"974","The Hide London","88",8,4,2
"975","Best Western Plus Seraphine Hammersmith","78",8,4,2
"976","Citadines London Holborn-Covent Garden","80",8,4,2
"977","Mint Hotel Westminster","86",8,4,2
"978","Hotel Indigo London-Tower Hill","90",8,4,2
"979","Chiswick Rooms","75",8,4,2
"980","Shaftesbury Suites London Marble Arch","71",8,4,2
"981","Marlin London Aldgate, Tower Bridge","79",8,4,2
"982","Rydges Kensington Plaza","78",8,4,2
"983","Kensington House","76",8,4,2
"984","Best Western Mornington","79",9,4,2
"985","Grand Plaza Serviced Apartments","77",9,4,2
"986","Millennium Gloucester London Kensington","79",9,4,2
"987","Park Plaza Victoria London","83",9,4,2
"988","Grange Clarendon","80",9,4,2
"989","So Arch","74",9,4,2
"990","The Georgian House","77",9,4,2
"991","Millennium Bailey's London Kensington","84",9,4,2
"992","The Academy","78",9,4,2
"993","The Old Ship Inn Hackney","77",9,4,2
"994","The Sumner","88",9,4,2
"995","Holiday Inn Brentford Lock","83",9,4,2
"996","Apple House Guesthouse Wembley","81",9,4,2
"997","The Hoxton","88",9,4,2
"998","Finsbury","84",9,4,2
"999","Best Western Shaftesbury Premier","79",9,4,2
"1000","The London Edition","90",9,4,2
"1001","The Trafalgar London","83",9,4,2
"1002","City Marque Clerkenwell Serviced Apartments","79",9,4,2
"1003","Hilton London Olympia","73",9,4,2
"1004","10 Manchester Street","85",9,4,2
"1005","The Zetter","87",9,4,2
"1006","Durrants","80",9,4,2
"1007","Mercure London Greenwich","86",9,4,2
"1008","Shaftesbury Metropolis London Hyde Park","70",9,4,2
"1009","Ham Yard","91",10,4,2
"1010","The Exhibitionist","79",10,4,2
"1011","Innkeeper's Lodge London Greenwich","81",10,4,2
"1012","K+K George","88",10,4,2
"1013","Cheval Harrington Court at South Kensington","83",10,4,2
"1014","Tophams Belgravia","59",10,4,2
"1015","The Queen's Gate ","80",10,4,2
"1016","MeliÃ¡ White House","82",10,4,2
"1017","Hotel 55","82",10,4,2
"1018","Thistle The Kingsley","86",10,4,2
"1019","Kingsway Hall","83",10,4,2
"1020","Dorsett Shepherds Bush","86",10,4,2
"1021","London Apartments Shoreditch","80",10,4,2
"1022","The Bull and The Hide","83",10,4,2
"1023","W12 Rooms","83",10,4,2
"1024","The Kensington","88",10,4,2
"1025","Park Grand London Hyde Park","74",10,4,2
"1026","Greenland Villa","70",10,4,2
"1027","Grange Fitzrovia","76",10,4,2
"1028","Xenia","87",10,4,2
"1029","La Place","73",10,4,2
"1030","Park Grand London Lancaster Gate ex. Hyde Park Premier London Paddington by Shaftesbury","80",10,4,2
"1031","Mercure London Kensington","72",10,4,2
"1032","SH Executive Rooms by Shaftesbury","67",10,4,2
"1033","The Victoria","85",10,4,2
"1034","York Albany","77",11,4,2
"1035","Park Lane Mews","70",11,4,2
"1036","Millennium London Mayfair","77",11,4,2
"1037","Blakemore Hyde Park","79",11,4,2
"1038","Fraser Place Canary Wharf","82",11,4,2
"1039","Talgarth","76",11,4,2
"1040","Ascott Mayfair London","79",11,4,2
"1041","Domus Selecta Elegant The Gainsborough","64",11,4,2
"1042","City Marque Knightsbridge Serviced Apartments","78",11,4,2
"1043","St Paul's","88",11,4,2
"1044","Crowne Plaza London Battersea","85",11,4,2
"1045","every hotel Piccadilly","83",11,4,2
"1046","The Pillar","81",11,4,2
"1047","Grange Buckingham ","81",11,4,2
"1048","Shaftesbury London Premier Notting Hill","71",11,4,2
"1049","The Beaufort","86",11,4,2
"1050","Marlin Apartments Queen Street","74",11,4,2
"1051","Belgraves- A Thompson Hotel","88",11,4,2
"1052","Apex London Wall","89",11,4,2
"1053","Sydney House Chelsea","87",11,4,2
"1054","Marlin Apartments Limehouse (City Docklands)","79",11,4,2
"1055","Saint Georges","74",11,4,2
"1056","SO Sienna","69",11,4,2
"1057","The Leonard","81",11,4,2
"1058","Mercure London Paddington","74",11,4,2
"1059","Grange Beauchamp","82",12,4,2
"1060","The Royal Chace","79",12,4,2
"1061","Park International","80",12,4,2
"1062","Best Western Maitrise Suites","80",12,4,2
"1063","Think Bermondsey Street","79",12,4,2
"1064","Ramada London Docklands","79",12,4,2
"1065","William IV","67",12,4,2
"1066","Dorset Square","83",12,4,2
"1067","Holiday Inn London-Elstree","76",12,4,2
"1068","Marlin Apartments Stratford (Olympic Park)","71",12,4,2
"1069","Astors","71",12,4,2
"1070","Holiday Inn London - Commercial Road","85",12,4,2
"1071","Holiday Inn London-Bloomsbury","79",12,4,2
"1072","City Marque Spitalfields Serviced Apartments","84",12,4,2
"1073","Simply Rooms & Suites","79",12,4,2
"1074","Rez Apartments","80",12,4,2
"1075","Crowne Plaza London - The City","85",12,4,2
"1076","Smart City Apartments Covent Garden","80",12,4,2
"1077","Meininger London Hyde Park","77",12,4,2
"1078","Holiday Inn London Mayfair","80",12,4,2
"1079","Portland","80",12,4,2
"1080","Urban Villa","88",12,4,2
"1081","Avo","81",12,4,2
"1082","Hotel Indigo London Kensington - Earls Court","85",12,4,2
"1083","Smart City Spitalfields","76",12,4,2
"1084","Goodwood","70",13,4,2
"1085","Twenty Nevern Square","80",13,4,2
"1086","Britannia International","67",13,4,2
"1087","Regency","78",13,4,2
"1088","St Christopher's Inns Shepherd's Bush","80",13,4,2
"1089","Flemings Mayfair","85",13,4,2
"1090","Megaro","83",13,4,2
"1091","Fraser Residence City","82",13,4,2
"1092","Leicester House ","83",13,4,2
"1093","Staybridge Suites London - Stratford City","90",13,4,2
"1094","The Wimbledon","70",13,4,2
"1095","Ascot Apartments - Canary Wharf","72",13,4,2
"1096","Go Native Stratford East","84",13,4,2
"1097","Paddington Court Suites","75",13,4,2
"1098","Fraser Suites Queens Gate","82",13,4,2
"1099","Harmony Living Serviced Apartments",NA,13,4,2
"1100","Onefinestay - Pimlico Apartments",NA,13,4,2
"1101","Manor Park House",NA,13,4,2
"1102","Go Native West End St Martin's Court",NA,13,4,2
"1103","Onefinestay - Fulham",NA,13,4,2
"1104","The Park City Grand Plaza Kensington",NA,13,4,2
"1105","The Montcalm at the Brewery London City","88",1,5,2
"1106","Threadneedles, Autograph Collection by Marriott","89",1,5,2
"1107","Hyatt Regency London - The Churchill","87",1,5,2
"1108","Adria Boutique","88",1,5,2
"1109","The Westbury Mayfair","78",1,5,2
"1110","Mondrian London","90",1,5,2
"1111","South Place Hotel","94",1,5,2
"1112","The Park Tower Knightsbridge","83",1,5,2
"1113","M By Montcalm Shoreditch London Tech City","86",1,5,2
"1114","St Pancras Renaissance London","85",1,5,2
"1115","Four Seasons London at Park Lane","93",1,5,2
"1116","Mandarin Oriental Hyde Park","88",1,5,2
"1117","W London Leicester Square","82",1,5,2
"1118","The Ritz London","90",1,5,2
"1119","Four Seasons Canary Wharf","89",1,5,2
"1120","Ace Hotel London Shoreditch ","84",1,5,2
"1121","Andaz Liverpool Street","89",1,5,2
"1122","The Waldorf Hilton","78",1,5,2
"1123","The Dorchester","88",1,5,2
"1124","St James's Hotel and Club","88",1,5,2
"1125","Cheval Phoenix House","91",1,5,2
"1126","Courthouse","76",1,5,2
"1127","Me London","89",1,5,2
"1128","Blakes London","80",1,5,2
"1129","Sanderson","88",1,5,2
"1130","The May Fair","83",2,5,2
"1131","Jumeirah Lowndes","86",2,5,2
"1132","The Marble Arch by Montcalm","76",2,5,2
"1133","Grange Holborn","81",2,5,2
"1134","Royal Garden","87",2,5,2
"1135","The Draycott","87",2,5,2
"1136","The Stafford London","89",2,5,2
"1137","Radisson Blu Edwardian Hampshire ","82",2,5,2
"1138","Sanctum Soho","79",2,5,2
"1139","Sheraton Park Lane London","66",2,5,2
"1140","The Montcalm","90",2,5,2
"1141","Grange Tower Bridge","88",2,5,2
"1142","JW Marriott Grosvenor House","83",2,5,2
"1143","The Portobello","84",2,5,2
"1144","Intercontinental London Park Lane","88",2,5,2
"1145","Shangri-La London at The Shard","91",2,5,2
"1146","St Martins Lane","89",2,5,2
"1147","The Langham London","90",2,5,2
"1148","San Domenico House","87",2,5,2
"1149","Great Northern","88",2,5,2
"1150","Cheval Gloucester Park","91",2,5,2
"1151","Le Meridien Piccadilly","76",2,5,2
"1152","The Royal Horseguards","89",2,5,2
"1153","The Arch London","93",2,5,2
"1154","45 Park Lane","87",2,5,2
"1155","Sofitel London St James","91",3,5,2
"1156","Chelsea Harbour","90",3,5,2
"1157","Hilton on Park Lane London","81",3,5,2
"1158","Covent Garden","95",3,5,2
"1159","Cheval Knightsbridge","90",3,5,2
"1160","The Lord Milner","81",3,5,2
"1161","Knightsbridge","90",3,5,2
"1162","Baglioni Hotel London","89",3,5,2
"1163","Egerton House","95",3,5,2
"1164","The Ampersand","86",3,5,2
"1165","Town Hall","89",3,5,2
"1166","41","96",3,5,2
"1167","Fairmont The Savoy","91",3,5,2
"1168","Plaza on the River, London","87",3,5,2
"1169","London Marriott West India Quay","89",3,5,2
"1170","No.11 Cadogan Gardens","81",3,5,2
"1171","London Marriott Park Lane","87",3,5,2
"1172","Jumeirah Carlton Tower","86",3,5,2
"1173","The Beaumont","90",3,5,2
"1174","The Metropolitan by Como","86",3,5,2
"1175","Grange St Paul's","85",3,5,2
"1176","Marriott County Hall","84",3,5,2
"1177","Cheval Thorney Court","86",3,5,2
"1178","Bulgari & Residences London","92",3,5,2
"1179","51 Buckingham Gate Taj Suites and Residences","95",3,5,2
"1180","Connaught","90",4,5,2
"1181","The Capital","87",4,5,2
"1182","Batty Langleys","86",4,5,2
"1183","Grosvenor House Apartments by Jumeirah Living","85",4,5,2
"1184","The Goring","93",4,5,2
"1185","Rocco Forte Brown's","89",4,5,2
"1186","The Berkeley","87",4,5,2
"1187","Conrad London St.James","91",4,5,2
"1188","Charlotte Street","91",4,5,2
"1189","Corinthia London","96",4,5,2
"1190","Dukes","89",4,5,2
"1191","The Soho","96",4,5,2
"1192","The Landmark London","88",4,5,2
"1193","The Halkin by Como","94",4,5,2
"1194","Rafayel on the Left Bank","84",4,5,2
"1195","Cheval Three Quays at the Tower of London","95",4,5,2
"1196","Haymarket","95",4,5,2
"1197","The Wellesley","90",4,5,2
"1198","Rosewood London","94",4,5,2
"1199","The Bentley London","85",4,5,2
"1200","Claridge's","90",4,5,2
"1201","London City Suites","88",4,5,2
"1202","One Aldwych","90",4,5,2
"1203","CafÃ© Royal","91",4,5,2
"1204","Grand Residences by Marriott - Mayfair-London","88",4,5,2
"1205","The Milestone","93",5,5,2
"1206","The Lanesborough","90",5,5,2
"1207","Intercontinental London - The O2",NA,5,5,2
"1208","The Laslett",NA,5,5,2
